nuts3,year,yield_tha
DEE0D,2023,12.182644896493386
DEE0E,2018,
DEE0E,2019,4.005570379016124
DEE0E,2020,8.585953716004285
DEE0E,2021,11.134654523927244
DEE0E,2022,7.804820921162376
DEE0E,2023,6.928739362351868
DEG03,2018,
DEG03,2019,6.124719052564517
DEG03,2020,9.242758569360662
DEG03,2021,13.632468464752266
DEG03,2022,3.7958320231092295
DEG03,2023,7.394317288650667
DK011,2018,
DK011,2019,11.899538159893918
DK011,2020,8.40868121549529
DK011,2021,12.517268310914343
DK011,2022,11.959176663976026
DK011,2023,16.949792045937542
DK014,2018,
DK014,2019,4.9396074735955
DK014,2020,6.139754654543711
DK014,2021,2.9787547987157232
DK014,2022,4.38413307919464
DK014,2023,9.21725281958393
DK032,2018,
DK032,2019,14.684996067288592
DK032,2020,13.439345934791458
DK032,2021,14.255111200058936
DK032,2022,11.845544993801752
DK032,2023,15.519200129697612
DK041,2018,
DK041,2019,12.612093584770326
DK041,2020,13.171116905935486
DK041,2021,12.191722275591204
DK041,2022,13.742872540469717
DK041,2023,14.00037444392055
EE001,2018,
EE001,2019,11.098130537150336
EE001,2020,13.992334506603314
EE001,2021,7.915374420276056
EE001,2022,8.990169923590576
EE001,2023,10.587504992110226
EE004,2018,
EE004,2019,11.978940744398393
EE004,2020,14.722728812939382
EE004,2021,5.1307980389925385
EE004,2022,6.707165482992065
EE004,2023,13.139436855866073
EE006,2018,
EE006,2019,11.280938679640723
EE006,2020,14.0685756802854
EE006,2021,9.608468055097674
EE006,2022,9.767359817491494
EE006,2023,10.964337693802852
EE007,2018,
EE007,2019,10.862360119964661
EE007,2020,13.403676397101469
EE007,2021,9.833930277388289
EE007,2022,8.796941058502636
EE007,2023,11.750410667320487
EE008,2018,
EE008,2019,9.173396099418936
EE008,2020,14.140376713909031
EE008,2021,10.183603267338029
EE008,2022,8.66633625867417
EE008,2023,7.342145118536592
EL302,2018,
EL302,2019,3.248210062091378
EL302,2020,1.5374241267596824
EL302,2021,1.3143521334743236
EL302,2022,1.096208579196331
EL302,2023,1.7645410553458318
EL303,2018,
EL303,2019,1.9609682875813592
EL303,2020,1.0157694907396795
EL303,2021,1.109076600331821
EL303,2022,0.9826191338291881
EL303,2023,3.0482029304532112
EL304,2018,
EL304,2019,6.948628243093745
EL304,2020,4.855499127282354
EL304,2021,2.542419644337989
EL304,2022,1.8768662538359764
EL304,2023,3.1749175180720868
EL306,2018,
EL306,2019,1.43077691289273
EL306,2020,0.7975263369565284
EL306,2021,0.8590166105352905
EL306,2022,0.994692163558791
EL306,2023,1.5891598654312542
EL307,2018,
EL307,2019,7.291115326038878
EL307,2020,5.077877079130112
EL307,2021,2.6655838813742125
EL307,2022,2.970898819134613
